31 20
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  10 0  0  10 2  11 0  0  10 0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  10 0  0  0  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  0  0  10 0  0  0  0  0  3  3  0  0  0  0  0  0  0  0  0
10 0  0  0  0  0  0  0  3  3  3  3  0  0  0  0  0  10 0  0
0  0  0  0  0  0  0  3  3  0  5  3  3  0  0  0  0  0  0  0
0  0  0  0  0  0  3  3  0  0  0  0  3  3  0  10 0  0  0  0
0  0  0  0  0  0  3  0  0  0  0  0  0  3  0  0  0  0  0  0
4  0  4  0  4  10 4  0  4  0  4  0  4  0  4  0  4  0  4  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
7  7  7  7  7  7  0  0  0  0  0  0  0  0  7  7  7  7  7  7
8  8  8  8  8  7  0  0  0  0  0  0  0  0  7  8  8  8  8  8
8  8  8  8  8  7  5  0  0  0  0  0  0  5  7  8  8  8  8  8
8  8  8  8  8  7  7  7  7  7  7  7  7  7  7  8  8  8  8  8
8  8  8  8  8  8  8  9  8  8  8  8  9  8  8  8  8  8  8  8
8  8  8  8  8  7  7  7  7  7  7  7  7  7  7  8  8  8  8  8
8  8  8  8  8  7  5  0  0  0  0  0  0  5  7  8  8  8  8  8
8  8  8  8  8  7  0  0  0  0  0  0  0  0  7  8  8  8  8  8
7  7  7  7  7  7  0  0  0  0  0  10 0  0  7  7  7  7  7  7
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  4  0  4  0  4  0  4  0  4  0  4  0  4  0  4  0  4  0  4
0  0  0  0  0  0  3  0  0  0  0  0  0  3  0  0  0  0  0  0
10 0  0  0  0  0  3  3  0  0  0  0  3  3  0  0  0  0  0  0
0  0  0  0  10 0  0  3  3  5  0  3  3  0  0  10 0  0  0  0
0  0  0  0  0  0  0  0  3  3  3  3  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  3  3  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  10 0  0  0  0  0  10 0  0  0  10 0  0
0  0  10 0  0  0  0  0  0  0  0  0  10 0  0  0  0  0  0  0
0  0  0  0  0  10 0  0  0  6  1  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
